Time (s),Temperature (K)
0.774,1668.8292773018043
0.775,1668.8266143209717
0.776,1668.8927608622698
0.777,1668.7962852769842
0.778,1668.6534138267443
0.779,1668.689321074727
0.78,1668.6404332371362
0.781,1668.671054377056
0.782,1668.543984580147
0.783,1668.6432846902644
0.784,1668.6392745881653
0.785,1668.579813726702
0.786,1668.5657142175778
0.787,1668.4359254614124
0.788,1668.4238694667451
0.789,1668.4704195028871
0.79,1668.481033812864
0.791,1668.4406569841158
0.792,1668.439939646094
0.793,1668.4895106512886
0.794,1668.4641158853733
0.795,1668.4650262429873
0.796,1668.6109023771323
0.797,1668.663960119789
0.798,1668.691623215208
0.799,1668.726738316926
0.8,1668.8231663931697
0.801,1668.8665474041422
0.802,1668.970859213066
0.803,1668.9699677600174
0.804,1669.0050222217997
0.805,1669.1194484422404
0.806,1669.5274833006642
0.807,1669.6064665672611
0.808,1669.5780510784361
0.809,1669.2994772631632
0.81,1669.120706166963
0.811,1669.0831146108535
0.812,1669.0017655054326
0.813,1669.207721378988
0.814,1669.7026356102547
0.815,1670.0877585924954
0.816,1670.0743040106586
0.817,1670.263379310838
0.818,1670.4237978715869
0.819,1670.4714473816907
0.82,1670.9394093644169
0.821,1670.836242846981
0.822,1669.4503331876144
0.823,1669.2082562767441
0.824,1669.162687039866
0.825,1669.163542095559
0.826,1669.236700557773
0.827,1669.218493896551
0.828,1669.449278788819
0.829,1669.5141736307178
0.83,1669.641684490768
0.831,1669.5397031049647
0.832,1669.6946003923981
0.833,1669.932541494235
0.834,1669.9881741344302
0.835,1670.051908824853
0.836,1669.966345256611
0.837,1669.8656973328143
0.838,1669.708618950533
0.839,1669.701472888466
0.84,1669.654194132257
0.841,1669.711301617348
0.842,1669.7424830969348
0.843,1669.700170350985
0.844,1669.7193548715313
0.845,1669.7193920706236
0.846,1669.8134392577572
0.847,1669.6761427853603
0.848,1669.579052679485
0.849,1669.530369456993
0.85,1669.5549149859085
0.851,1669.7179120312517
0.852,1669.9194086728453
0.853,1670.0716443148558
0.854,1670.0513437636264
0.855,1669.8235147572254
0.856,1669.7591155463974
0.857,1669.6334225562937
0.858,1669.5386245843433
0.859,1669.4419024775825
0.86,1669.4639125708059
0.861,1669.2502238998468
0.862,1669.077820992121
0.863,1668.9180455213336
0.864,1668.6783624757786
0.865,1668.6872508216939
0.866,1669.0419307199968
0.867,1669.318867604879
0.868,1669.6095018382912
0.869,1669.604552285356
0.87,1669.6095016582585
0.871,1670.5036371999709
0.872,1670.6753421693666
0.873,1670.6535431352295
0.874,1670.6370177053714
0.875,1670.6421908918896
0.876,1670.6564549714426
0.877,1670.7173610622685
0.878,1670.7293773460992
0.879,1670.8051799626428
0.88,1671.7963648926284
